Hospital Name,Hospital Lat,Hospital Lon,Hospital Address,Beds Available,Doctors Available,Traffic Speed (km/h),Traffic Incident,Traffic Density,Traffic Severity Index,Weather Condition,Route Distance (km),Route Time Without Traffic (min),Route Time With Traffic (min),Route Start Time,Route End Time,Priority Level
"K P Childrens Hospital And Neuro Centre, Mount - Medavakkam Road, CMWSSB Division 163, Ward 163, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",12.9911179,80.1986745,"K P Childrens Hospital And Neuro Centre, Mount - Medavakkam Road, CMWSSB Division 163, Ward 163, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600088, India",16,5,20,Yes,Moderate,21,Fog,8.738726787636157,13.108090181454235,24.253867586474797,2025-02-13 09:13:17.679685,2025-02-13 09:37:32.911740,Low
"Cantonment General Hospital, Magazine Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",13.0096653,80.19501478878405,"Cantonment General Hospital, Magazine Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",24,10,35,Yes,Moderate,27,Fog,10.080718973142854,15.121078459714282,21.94760789288231,2025-02-13 09:13:17.679685,2025-02-13 09:35:14.536159,Low
"Magazine Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",13.009781,80.1949734,"Magazine Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",11,8,40,Yes,High,54,Snow,14.021143058125244,21.031714587187864,26.57379160343399,2025-02-13 08:54:17.679685,2025-02-13 09:20:52.107181,Medium
"Rathna Hospital, St Patricks Church Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St. Thomas Mount Cantonment, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.0087475,80.1937172,"Rathna Hospital, St Patricks Church Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St. Thomas Mount Cantonment, Chengalpattu, Chennai, Tamil Nadu, 600016, India",21,8,25,No,High,77,Rain,5.272473442767387,7.90871016415108,18.52656492589261,2025-02-13 08:58:17.680676,2025-02-13 09:16:49.274572,Low
"St. Thomas Hospital, Defence Colony Road, CMWSSB Division 201, St. Thomas Mount Cantonment, St.Thomas Mount-Pallavaram Cantonment Board, Kanchipuram, Chennai, Tamil Nadu, 600016, India",13.0122733,80.196428,"St. Thomas Hospital, Defence Colony Road, CMWSSB Division 201, St. Thomas Mount Cantonment, St.Thomas Mount-Pallavaram Cantonment Board, Kanchipuram, Chennai, Tamil Nadu, 600016, India",53,23,25,No,Moderate,17,Rain,17.279026966274287,25.91854044941143,38.02600951569844,2025-02-13 09:05:17.680676,2025-02-13 09:43:19.241247,Medium
"Military Hospital, 2nd Seven Wells Street, CMWSSB Division 158, Ward 158, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600016, India",13.0117736,80.1941708,"Military Hospital, 2nd Seven Wells Street, CMWSSB Division 158, Ward 158, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600016, India",15,5,25,No,High,33,Clear,11.850166172516872,17.775249258775307,28.540278348899225,2025-02-13 08:55:17.680676,2025-02-13 09:23:50.097377,Low
"BM Hospital, 5th Main Road, CMWSSB Division 162, Ward 162, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600114, India",12.9887616,80.1904116,"BM Hospital, 5th Main Road, CMWSSB Division 162, Ward 162, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600114, India",18,7,30,Yes,High,39,Snow,7.273413601525368,10.910120402288053,16.354395155051122,2025-02-13 09:42:17.680676,2025-02-13 09:58:38.944385,High
"Dr Bala's Skin clinic, 14, Vanalar Street, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600088, India",12.9831959,80.2013573,"Dr Bala's Skin clinic, 14, Vanalar Street, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600088, India",29,8,20,No,Moderate,26,Clear,19.218305982908483,28.827458974362724,35.218415954912956,2025-02-13 08:58:17.680676,2025-02-13 09:33:30.785633,Medium
"HOSPICE, Nagi Reddy thottam Garden Rd, Labour Colony, CMWSSB Division 170, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India",13.015872900000002,80.21345943331696,"HOSPICE, Nagi Reddy thottam Garden Rd, Labour Colony, CMWSSB Division 170, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India",11,8,40,Yes,High,76,Clear,7.704291993401977,11.556437990102966,19.50274840920101,2025-02-13 09:17:17.680676,2025-02-13 09:36:47.845581,Medium
"Military Hospital, Defence Colony 1st Avenue, CMWSSB Division 201, St. Thomas Mount Cantonment, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",13.0194622,80.1972947,"Military Hospital, Defence Colony 1st Avenue, CMWSSB Division 201, St. Thomas Mount Cantonment, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600016, India",15,6,20,No,Moderate,24,Fog,18.064258444049266,27.0963876660739,37.2406423915363,2025-02-13 08:54:17.680676,2025-02-13 09:31:32.119219,High
"Rotary Central Margaret Sidney Hospital, 2nd Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600001, India",12.9837958,80.1932105,"Rotary Central Margaret Sidney Hospital, 2nd Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600001, India",28,7,25,No,Low,19,Clear,12.74335857634757,19.115037864521355,29.451641208973832,2025-02-13 08:48:17.680676,2025-02-13 09:17:44.779149,High
"Hariharan Hospital, 29th Street, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.9847145,80.1905906,"Hariharan Hospital, 29th Street, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",10,8,35,No,Low,29,Rain,6.3992230564420165,9.598834584663024,16.92068952770301,2025-02-13 08:50:17.680676,2025-02-13 09:07:12.922048,High
"Bharath Hospital, 72, Nanganallur 1st Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.9823277,80.1937835,"Bharath Hospital, 72, Nanganallur 1st Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",20,5,30,No,Moderate,22,Clear,10.135342726139651,15.203014089209477,23.47977972625462,2025-02-13 08:54:17.680676,2025-02-13 09:17:46.467460,Low
"Prime Care Nursing Home, Brindavan Nagar Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600042, India",12.9799192,80.2044922,"Prime Care Nursing Home, Brindavan Nagar Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600042, India",20,6,40,Yes,Low,29,Fog,15.251796817512687,22.877695226269033,37.54537654175508,2025-02-13 08:49:17.680676,2025-02-13 09:26:50.403269,Medium
"Dr. Janardhanan Multispeciality Dental Clinic, Nanganallur 4th Main Road, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600114, India",12.9842586,80.1886083,"Dr. Janardhanan Multispeciality Dental Clinic, Nanganallur 4th Main Road, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600114, India",11,8,40,Yes,High,39,Fog,13.154380645975229,19.731570968962842,28.080479625918287,2025-02-13 09:25:17.680676,2025-02-13 09:53:22.509454,Medium
"Qure Ortho Clinic, Physiotherapy, X Ray & Pharmacy, Brindavan Nagar Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600042, India",12.9794,80.2043658,"Qure Ortho Clinic, Physiotherapy, X Ray & Pharmacy, Brindavan Nagar Main Road, CMWSSB Division 165, Ward 165, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600042, India",25,8,35,Yes,Moderate,30,Snow,17.315426094726174,25.97313914208926,32.5035863922157,2025-02-13 09:04:17.680676,2025-02-13 09:36:47.895860,High
"Xcellent Care Hospital, RajaLaxmi Nagar 7th Cross Street, RajaLaxmi Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",12.9855867,80.21842695262237,"Xcellent Care Hospital, RajaLaxmi Nagar 7th Cross Street, RajaLaxmi Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",28,6,40,Yes,Moderate,30,Fog,14.761737452727825,22.14260617909174,34.17287050109125,2025-02-13 09:19:17.680676,2025-02-13 09:53:28.052906,Medium
"Sri Venkateshwara`s C.M. Hospital, Nanganallur 5th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.9857914,80.185987,"Sri Venkateshwara`s C.M. Hospital, Nanganallur 5th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",21,10,40,Yes,Low,26,Fog,8.185737456090404,12.278606184135606,21.849414987036297,2025-02-13 08:44:17.680676,2025-02-13 09:06:08.645575,Medium
"Dr.Agarwal's Eye Hospital Ltd, Nanganallur, Nanganallur 1st Main Road, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",12.9827844,80.1891661,"Dr.Agarwal's Eye Hospital Ltd, Nanganallur, Nanganallur 1st Main Road, CMWSSB Division 164, Ward 164, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",29,8,35,Yes,Moderate,18,Fog,7.918909001848901,11.87836350277335,22.016861460545964,2025-02-13 09:06:17.680676,2025-02-13 09:28:18.692364,Medium
"Helios Hospital Pvt Ltd, RajaLaxmi Nagar 7th Cross Street, RajaLaxmi Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",12.9855882,80.2189144,"Helios Hospital Pvt Ltd, RajaLaxmi Nagar 7th Cross Street, RajaLaxmi Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",15,9,35,Yes,High,80,Fog,10.95303056766268,16.42954585149402,23.014603189002898,2025-02-13 09:21:17.680676,2025-02-13 09:44:18.556867,Low
"Dr.Agarwals Eye Hospital - Velacherry, Velachery Bypass Road, Gangai Nagar, Ward 177, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",12.9832366,80.217509,"Dr.Agarwals Eye Hospital - Velacherry, Velachery Bypass Road, Gangai Nagar, Ward 177, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",13,9,30,No,Moderate,18,Clear,10.515674059888159,15.773511089832237,29.249857322333806,2025-02-13 09:09:17.680676,2025-02-13 09:38:32.672115,High
"Xcellent Care Superspeciality Hospital, Velachery Bypass Road, Gangai Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",12.9833895,80.2181782,"Xcellent Care Superspeciality Hospital, Velachery Bypass Road, Gangai Nagar, CMWSSB Division 178, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",13,8,30,No,Moderate,22,Fog,6.7871717254003165,10.180757588100475,16.23368687835954,2025-02-13 08:55:17.680676,2025-02-13 09:11:31.701889,Low
"Palani Balaji Fertility Centre, Velachery Road, Jothiammal Nagar, Ward 171, Zone 13 Adyar, Chennai, Tamil Nadu, 624601, India",13.0122123,80.2235084,"Palani Balaji Fertility Centre, Velachery Road, Jothiammal Nagar, Ward 171, Zone 13 Adyar, Chennai, Tamil Nadu, 624601, India",13,6,30,No,Low,21,Fog,5.091743353365659,7.637615030048488,20.47245780012223,2025-02-13 09:29:17.680676,2025-02-13 09:49:46.028144,Medium
"Diha Clinic, No 6, Nanganallur 6th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.98096495,80.18711415874711,"Diha Clinic, No 6, Nanganallur 6th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",28,9,30,Yes,High,70,Snow,8.682896500677291,13.024344751015937,25.96173922204345,2025-02-13 09:21:17.680676,2025-02-13 09:47:15.385029,Low
"No 6, Nanganallur 6th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.9809491,80.1871116,"No 6, Nanganallur 6th Main Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",22,10,20,Yes,Low,13,Rain,6.679401883190341,10.019102824785511,19.925266171058773,2025-02-13 09:08:17.680676,2025-02-13 09:28:13.196646,High
"Velachery K S Hospital, kalki nagar main road, Ward 178, Zone 13 Adyar, Sholinganallur, Chennai, Tamil Nadu, 600042, India",12.9763914,80.2114016,"Velachery K S Hospital, kalki nagar main road, Ward 178, Zone 13 Adyar, Sholinganallur, Chennai, Tamil Nadu, 600042, India",29,6,25,Yes,High,45,Rain,8.320597789192455,12.480896683788682,25.709901536303022,2025-02-13 09:14:17.680676,2025-02-13 09:40:00.274768,Low
"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600089, India",13.0211808,80.1858412,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600089, India",23,6,35,No,Moderate,19,Fog,12.897387425899453,19.34608113884918,31.513180192351516,2025-02-13 09:13:17.680676,2025-02-13 09:44:48.471488,Medium
"Gowri Nursing Home, Kanchipuram, 6th Street, Lakshmi Nagar, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",12.9779713,80.1883923,"Gowri Nursing Home, Kanchipuram, 6th Street, Lakshmi Nagar, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",30,9,30,No,Low,15,Fog,10.67784650750934,16.016769761264012,21.51007976840524,2025-02-13 09:15:17.680676,2025-02-13 09:36:48.285462,Medium
"KS Bone and Joint Clinic - Ortho, Gangai Amman Koil Street, Ward 139, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India",13.026029,80.212368,"KS Bone and Joint Clinic - Ortho, Gangai Amman Koil Street, Ward 139, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India",30,9,20,Yes,Moderate,23,Rain,12.135862768149751,18.203794152224628,28.22408345367911,2025-02-13 09:19:17.680676,2025-02-13 09:47:31.125683,Low
"Gowri Nursing Home, 100ft Road, Ward 168, Zone 14 Perungudi, Alandur, Chennai, Tamil Nadu, 600061, India",12.9774071,80.18833045104813,"Gowri Nursing Home, 100ft Road, Ward 168, Zone 14 Perungudi, Alandur, Chennai, Tamil Nadu, 600061, India",22,10,20,Yes,Moderate,13,Clear,11.229448852479553,16.84417327871933,28.46924387948911,2025-02-13 09:39:17.680676,2025-02-13 10:07:45.835309,High
"Pankajam Memorial Hospital, Nanganallur 100 Feet Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",12.9801472,80.1835965,"Pankajam Memorial Hospital, Nanganallur 100 Feet Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 600061, India",18,10,20,Yes,High,53,Rain,11.12459102559014,16.68688653838521,30.531003744204902,2025-02-13 08:56:17.680676,2025-02-13 09:26:49.540901,Medium
"Sri Chakra Hospital, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.9786524,80.1850278,"Sri Chakra Hospital, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",22,5,25,No,High,49,Snow,8.543252341601775,12.814878512402663,21.448034318088187,2025-02-13 09:09:17.680676,2025-02-13 09:30:44.562735,Low
"Srichakara Multispeciality Hospital, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",12.97853,80.1851381,"Srichakara Multispeciality Hospital, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India",11,6,40,No,Moderate,17,Clear,18.973489427297846,28.460234140946767,35.44350404959861,2025-02-13 09:05:17.680676,2025-02-13 09:40:44.290919,Low
"Hindu Mission Health Services, Kanchipuram, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 603209, India",12.9787682,80.1846471,"Hindu Mission Health Services, Kanchipuram, Nanganallur 100ft Road, CMWSSB Division 167, Ward 167, Zone 12 Alandur, Kanchipuram, Chennai, Tamil Nadu, 603209, India",15,7,35,Yes,Low,16,Rain,6.279262194993411,9.418893292490116,20.31697333593106,2025-02-13 09:23:17.681686,2025-02-13 09:43:36.700086,Low
"Nivas Skin Clinic, Inner Ring Road, CMWSSB Division 138, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India",13.0289663,80.2085951,"Nivas Skin Clinic, Inner Ring Road, CMWSSB Division 138, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India",83,36,30,No,Moderate,22,Snow,13.469827615785018,20.204741423677525,31.92180170477123,2025-02-13 09:32:17.681686,2025-02-13 10:04:12.989788,Medium
"சைதாப்பேட்டை அரசு மருத்துவமனை, Jeenis Road, Ward 142, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",13.02044625,80.22405105438145,"சைதாப்பேட்டை அரசு மருத்துவமனை, Jeenis Road, Ward 142, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",196,78,35,Yes,High,32,Rain,7.960395715639905,11.940593573459857,17.731931204334412,2025-02-13 09:33:17.681686,2025-02-13 09:51:01.597558,High
"Bora Hospital, Vadhyar Subbraya mudali street, Saidapet, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",13.02231095,80.2222779,"Bora Hospital, Vadhyar Subbraya mudali street, Saidapet, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",89,42,20,Yes,Moderate,29,Snow,10.971583612756906,16.45737541913536,28.42218325085502,2025-02-13 09:20:17.681686,2025-02-13 09:48:43.012681,Low
"Prashanth Hospitals, 36, Velachery Main Road, JagannathaPuram, CMWSSB Division 179, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",12.9784544,80.2214698,"Prashanth Hospitals, 36, Velachery Main Road, JagannathaPuram, CMWSSB Division 179, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India",15,8,35,No,High,32,Clear,5.6502394253151085,8.475359137972664,21.986079113171655,2025-02-13 09:18:17.681686,2025-02-13 09:40:16.846433,Medium
"Nalam Hospital, Manapakkam Main Road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Mugalivakkam, Chengalpattu, Chennai, Tamil Nadu, 600116, India",13.0164671,80.1772853,"Nalam Hospital, Manapakkam Main Road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Mugalivakkam, Chengalpattu, Chennai, Tamil Nadu, 600116, India",20,7,20,Yes,Low,27,Snow,10.296607304985981,15.444910957478971,21.239990040444624,2025-02-13 08:51:17.681686,2025-02-13 09:12:32.081088,Medium
"Chennai Corporation 24 Hours Maternity Hospital, Jeenis Road, Ward 142, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",13.0208822,80.22412781839571,"Chennai Corporation 24 Hours Maternity Hospital, Jeenis Road, Ward 142, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India",172,59,40,Yes,Low,14,Fog,17.04678514114103,25.570177711711544,36.4086716897926,2025-02-13 09:33:17.681686,2025-02-13 10:09:42.201987,High
"Dhanraj Hospital, Karpaga Vinayakar Koil Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.0017797,80.2033269,"Dhanraj Hospital, Karpaga Vinayakar Koil Street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13,8,30,Yes,Low,15,Snow,13.695808048567644,20.543712072851466,28.994588331176963,2025-02-13 09:23:17.681686,2025-02-13 09:52:17.356986,Low
"Cu Shah Sankara Netralaya, Station Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Kanchipuram, Chennai, Tamil Nadu, 600016, India",13.0012687,80.2001283,"Cu Shah Sankara Netralaya, Station Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Kanchipuram, Chennai, Tamil Nadu, 600016, India",18,7,25,No,Moderate,16,Fog,11.569479642135585,17.35421946320338,31.53171672161789,2025-02-13 09:07:17.681686,2025-02-13 09:38:49.584689,High
"S.S. Hospital, Sowri street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",13.0036449,80.2030844,"S.S. Hospital, Sowri street, CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chengalpattu, Chennai, Tamil Nadu, 600016, India",14,6,35,Yes,Low,10,Rain,7.31274847435664,10.969122711534961,21.795327565724918,2025-02-13 09:23:17.681686,2025-02-13 09:45:05.401340,High
